rule,sparsifier,edges,deg_mean,deg_max,components,isolates,clustering,same_region_share,assort_types,assort_logpop,leiden_Q,leiden_K,sim_sec,k4_SW,k4_CH,k4_S_Dbw,k4_AVI,k4_AVU,k4_ANUI,k4_MQ,k4_Q,k6_SW,k6_CH,k6_S_Dbw,k6_AVI,k6_AVU,k6_ANUI,k6_MQ,k6_Q,k6_boot_ari,sec
corr_growth_lag2,knn15_mutual,8318,8.251984126984127,16,8,0,0.14156380023195503,0.20894445780235635,0.44619692473963624,0.5712114891952902,0.6107036940608203,21,0.020566940307617188,0.2028426426509125,428.86947931712,0.7988430946972732,0.6643229594083481,0.5221203888511077,0.49323957591788087,2.6572918376333923,0.3304939873648651,0.14467132872622293,330.3124630234735,0.7791313883701851,0.5554833731763678,0.47085042914087544,0.4403183037268948,3.3329002390582065,0.32211276658489246,0.7321758809782538,3.9
corr_growth_lag2,knn15,21959,21.78472222222222,73,1,0,0.15953491368696573,0.20428981283300696,0.4095283156437128,0.486946290068806,0.5353854303824624,7,0.020566940307617188,0.20394366214944373,428.12294228297264,0.8003652463920877,0.6013715562535169,0.5645934467154846,0.4489420609115675,2.4054862250140676,0.33041492253977695,0.1443261719608155,327.360795012655,0.7799540894444748,0.49635942177025383,0.5174262886753,0.3949298261611607,2.978156530621523,0.3172900082086105,0.7910897105973594,3.5
corr_growth_lag2,epsilon,9448,9.373015873015873,153,1576,1550,0.12225343188428804,0.7757197290431838,0.393357520179225,0.22310247509506986,0.45117693284028304,1579,0.020566940307617188,0.18748852063866758,335.9080096006318,0.866343519450834,0.7181653473452108,0.5280206454694847,0.5207092193030848,2.872661389380843,0.0307047887021829,0.1284249332793143,288.8393759747996,0.7904762578087677,0.7081389418976808,0.6087900885664403,0.49481866998175306,4.248833651386085,0.0748339467822321,0.5553333172617354,8.0
corr_growth_lag2,tmfg,6042,5.994047619047619,39,1,0,0.7255456249289254,0.2378351539225422,0.4326357257807744,0.5041371124619027,0.9104917335265844,25,0.020566940307617188,0.19702502624837936,429.1318014018914,0.8156120576106767,0.606734778525003,0.5630192128472193,0.4522460265307141,2.426939114100012,0.3307667913925034,0.14699325636090044,330.9508166235387,0.7822888245820104,0.5138414856369977,0.5072013946498053,0.4076097712796658,3.0830489138219863,0.3304847250509695,0.7260247711686898,4.7
corr_growth_lag2,disparity,70438,69.87896825396825,163,1,0,0.20609424178957986,0.1572020784235782,0.33270984958738026,0.4206315273459238,0.45809815646349855,6,0.020566940307617188,0.2009439755234083,423.2183566740018,0.8019529104731679,0.5430428166975483,0.5826128269566743,0.4125262355701969,2.172171266790193,0.28320800946125424,0.12075588846908308,301.42268396978466,0.7775382710732129,0.4933728671667386,0.5072122584880965,0.39462102181280634,2.960237203000432,0.31015443874577037,0.8541381947329552,4.7
dtw_level,knn15_mutual,6569,6.516865079365079,16,11,0,0.19617172537559405,0.23626122697518648,0.5104942625737491,0.6385095061274597,0.7876494534912436,23,33.32687997817993,0.20118818533799884,429.3091960128815,0.8033294542255547,0.65847002682668,0.5869393455058023,0.47492145061973834,2.63388010730672,0.38988182045905967,0.14179778217500802,330.72706658216964,0.7808354954656416,0.49887202776857204,0.5248565832078649,0.3953540094215417,2.993232166611433,0.34017878598029627,0.6895460271879225,3.8
dtw_level,knn15,23724,23.535714285714285,59,1,0,0.2401643696064115,0.1599224414095431,0.4153409320770575,0.5229999647235422,0.6562673076844711,8,33.32687997817993,0.19709957763236927,426.10858225884533,0.8018593206585878,0.610162289067286,0.6081302345951154,0.44503020918657277,2.440649156269144,0.3418574481620544,0.13524505238653886,325.6322218516373,0.7703616022965413,0.48298208408612014,0.580566432399022,0.37721093602921146,2.897892504516721,0.3195777176325456,0.6635824248742125,3.3
dtw_level,epsilon,9448,9.373015873015873,135,1448,1422,0.13579720285312216,0.46348433530906014,0.42216422441615453,0.16416111694718494,0.43005317415992367,1453,33.32687997817993,0.1325732902983541,335.9070121349048,0.843844330766451,0.6576312507838405,0.5047834688667133,0.4937314690055352,2.630525003135362,0.019032607339425578,0.10966594786806831,259.66581797737695,0.8097773520013863,0.7392437528645587,0.46429908094059186,0.5503477777606048,4.435462517187352,0.23785270027591138,0.75060102603061,5.5
dtw_level,tmfg,6042,5.994047619047619,32,1,0,0.7164307663280843,0.20009930486593844,0.4372199088413875,0.5553644717863845,0.918617812413101,25,33.32687997817993,0.19729622108048303,429.2435741972994,0.8088212672516636,0.6068779086960145,0.5887937231215528,0.4471128910175918,2.427511634784058,0.3375368978490113,0.14469978015352528,329.809973056577,0.7781286398350641,0.4996826611514073,0.5564736215642148,0.39096957506326,2.9980959669084437,0.3364008780278971,0.6848699579197534,5.3
dtw_level,disparity,74885,74.29067460317461,162,1,0,0.33616320776602615,0.1232957201041597,0.3640239192195999,0.47467990069730076,0.5911629771789007,7,33.32687997817993,0.17453929799620999,399.26061100350483,0.8068935772210165,0.6283442914778475,0.6572992942196444,0.4446848756655944,2.51337716591139,0.3694351422596521,0.06980811569586387,268.51424282266504,0.7607653183524101,0.6152329341882635,0.5338639236051458,0.4631206479293662,3.691397605129581,0.43095783368890617,0.6291945577238414,4.2
dtw_composition,knn15_mutual,7494,7.434523809523809,16,10,0,0.31818717960831067,0.28889778489458234,0.7353312070549906,0.7581275106195857,0.796967847494003,27,31.116636037826538,0.20121733982885168,428.746360262894,0.8106327154662101,0.8213520779002436,0.5194219645865485,0.5757295521117154,3.2854083116009742,0.5302364381464526,0.14033657494280208,329.6624885007801,0.7759534309372411,0.7258823378467572,0.5036808392580883,0.5315432150173293,4.355294027080543,0.5589530308139178,0.7336985121877593,4.5
dtw_composition,knn15,22846,22.66468253968254,57,1,0,0.38309502739789597,0.19066795062593014,0.6587502876162614,0.6607433939765676,0.6940870737612885,11,31.116636037826538,0.19772327902098658,425.62061248518233,0.817639198837814,0.7974130727833008,0.5145288107328336,0.5654240914521009,3.189652291133203,0.4703482433844066,0.12984389416816583,321.51822596670985,0.772420312418374,0.7612189006042781,0.4804243274952393,0.557380389443386,4.567313403625668,0.5740579211523483,0.7734632110379038,4.2
