type,feature,lo,hi,median,others_inside,separation
3,доля здоровья,0.037966102954519305,0.05492200396827658,0.04556841876539182,0.6822033898305084,0.31779661016949157
3,доля общепита,0.015097269580515573,0.04411019013541561,0.025877909655448873,0.42675544794188863,0.5732445520581113
3,доля маркетплейсов,0.12054344604484964,0.17729675437752593,0.1460394424320494,0.5453995157384988,0.45460048426150124
3,доля транспорта,0.05209507836873972,0.08058500699223992,0.06348266364986338,0.4824455205811138,0.5175544794188862
3,доля прочего,0.23509536653877725,0.30259202639193467,0.2702185522962194,0.40375302663438256,0.5962469733656175
3,"траты на жителя, ₽/мес",18668.0875,28969.4875,23516.5,0.5357142857142857,0.4642857142857143
3,население,10759.0,69040.4,23095.5,0.6162227602905569,0.3837772397094431
3,"зарплата, ₽",45222.600000000006,74387.76,57138.2,0.47336561743341404,0.526634382566586
3,доступность рынков,171.42000000000002,351.36999999999995,296.70000000000005,0.5290556900726392,0.4709443099273608
3,доля городского населения,0.0,0.8486934961958986,0.0,0.6585956416464891,0.3414043583535109
3,рост г/г,0.09407317821468546,0.2005448773473981,0.14634967479033956,0.8529055690072639,0.1470944309927361
3,сезонная амплитуда,0.29242907610731095,0.4747598725418175,0.39478340698854986,0.9067796610169492,0.09322033898305082
3,занятость: сельское хозяйство,0.0,0.21447513489286063,0.030209708168353132,0.927360774818402,0.07263922518159804
3,занятость: добыча,0.0,0.07231652264654717,0.0,0.9146489104116223,0.08535108958837767
3,занятость: промышленность,0.0,0.27446586088539476,0.06756756756756757,0.7572639225181598,0.24273607748184023
3,занятость: рыночные услуги,0.05096487849876801,0.27329944719708216,0.13492726968734325,0.6755447941888619,0.32445520581113807
3,занятость: бюджетный сектор,0.36454211554923843,0.7686065357844805,0.5512037978975923,0.6228813559322034,0.3771186440677966
4,доля продовольствия,0.2860087831923895,0.3869063049968268,0.33772099142742856,0.04389928986442866,0.9561007101355713
4,доля здоровья,0.04573696838442515,0.06129390270871372,0.054416958469100885,0.4983860555196901,0.5016139444803098
4,доля общепита,0.05048060288113135,0.08844744423782995,0.06892666038780071,0.024531956100710135,0.9754680438992899
4,доля маркетплейсов,0.11502885217497207,0.16253332221991448,0.1338194469763457,0.36346029696578436,0.6365397030342157
4,доля транспорта,0.061146886489328936,0.07817290033819328,0.07139897482668596,0.1672046481601033,0.8327953518398967
4,доля прочего,0.295965404609228,0.3752309216002285,0.3266799403451414,0.13234344738540993,0.8676565526145901
4,"траты на жителя, ₽/мес",31214.958333333332,52321.23333333334,42473.916666666664,0.1000645577792124,0.8999354422207876
4,население,27121.8,329598.2000000002,89544.0,0.3131052291801162,0.6868947708198838
4,"зарплата, ₽",68153.04000000001,172421.64,110892.9,0.23628147191736604,0.763718528082634
4,доступность рынков,243.86,633.18,408.0,0.7178825048418335,0.28211749515816653
4,доля городского населения,0.6349339804907209,1.0,1.0,0.29309231762427373,0.7069076823757263
4,рост г/г,0.1495946512340156,0.19752758981213148,0.17099582346494158,0.32214331826985154,0.6778566817301485
4,сезонная амплитуда,0.3171876592379849,0.39903669089826477,0.3612463976009419,0.4422207876049064,0.5577792123950935
4,занятость: сельское хозяйство,0.0,0.021428243192832132,0.0,0.525500322788896,0.474499677211104
4,занятость: добыча,0.0,0.019658897403824184,0.0,0.8721755971594577,0.1278244028405423
4,занятость: промышленность,0.01101998575566503,0.4300276847541508,0.18122779751332152,0.7591994835377663,0.24080051646223366
4,занятость: рыночные услуги,0.119386942421236,0.6337905363772297,0.31319372163703735,0.565526145900581,0.43447385409941897
4,занятость: бюджетный сектор,0.1432770691299976,0.5891802340835829,0.32159481886257846,0.6378308586184636,0.36216914138153644
