type,feature,lo,hi,median,others_inside,separation
1,доля здоровья,0.036998408173757075,0.05307522892628917,0.04536059443590784,0.6098039215686275,0.3901960784313725
1,доля общепита,0.01563921221239762,0.04247969221945666,0.024544718646953196,0.35294117647058826,0.6470588235294117
1,доля маркетплейсов,0.1412535399627664,0.20471852049037748,0.17012007450343541,0.5320261437908497,0.46797385620915033
1,доля транспорта,0.03739710725957056,0.06703828568702436,0.048990375806966135,0.6300653594771242,0.36993464052287583
1,доля прочего,0.22842198269291739,0.29318233550900563,0.26120923736262297,0.3457516339869281,0.6542483660130719
1,"траты на жителя, ₽/мес",20196.291666666664,30263.4375,24437.166666666668,0.4143790849673203,0.5856209150326797
1,население,12758.0,60537.799999999996,29607.5,0.46797385620915033,0.5320261437908497
1,"зарплата, ₽",47470.86,77640.5,58641.0,0.4150326797385621,0.5849673202614378
1,доступность рынков,233.4,395.05,324.45,0.5568627450980392,0.44313725490196076
1,доля городского населения,0.0,0.8614674530550489,0.5730835854693319,0.6490196078431373,0.3509803921568627
1,рост г/г,0.09900739262778036,0.19818979252217106,0.14408978879926748,0.8235294117647058,0.17647058823529416
1,сезонная амплитуда,0.3113328918016567,0.4467272197629688,0.3864655045215031,0.7849673202614379,0.2150326797385621
1,занятость: сельское хозяйство,0.0,0.15581894419217526,0.029444124459400436,0.8751633986928105,0.12483660130718954
1,занятость: добыча,0.0,0.015529687621790161,0.0,0.8777777777777778,0.12222222222222223
1,занятость: промышленность,0.037129604619214,0.4129040257872928,0.1770825459582785,0.630718954248366,0.369281045751634
1,занятость: рыночные услуги,0.0722141332172952,0.308047282666572,0.16336848635235734,0.6444444444444445,0.3555555555555555
1,занятость: бюджетный сектор,0.3195621117178285,0.6070864650168042,0.4588869035106159,0.4627450980392157,0.5372549019607843
2,доля продовольствия,0.3960608821467337,0.5046488457389917,0.44895491664877785,0.6271459227467812,0.37285407725321884
2,доля здоровья,0.03106936871275765,0.04806775979903219,0.03931522718743368,0.4747854077253219,0.525214592274678
2,доля общепита,0.015079805272511373,0.04551996828320651,0.026474179155586187,0.4855150214592275,0.5144849785407726
2,доля маркетплейсов,0.07528407703817358,0.16614283877679395,0.11520133460016463,0.5488197424892703,0.45118025751072965
2,доля транспорта,0.043435831285466,0.09063559058665552,0.06276392463395863,0.8111587982832618,0.18884120171673824
2,доля прочего,0.24908973770719653,0.3446529267000146,0.2960845938603885,0.5488197424892703,0.45118025751072965
2,"траты на жителя, ₽/мес",22031.083333333332,37542.09583333333,27225.145833333336,0.4667381974248927,0.5332618025751072
2,население,7831.400000000001,34772.9,17064.0,0.5343347639484979,0.4656652360515021
2,"зарплата, ₽",51934.23,108653.87,71265.2,0.4876609442060086,0.5123390557939914
2,доступность рынков,131.70000000000002,234.62,151.0,0.14914163090128754,0.8508583690987125
2,доля городского населения,0.0,0.7393211569555911,0.0,0.6223175965665236,0.37768240343347637
2,рост г/г,0.06454771781967002,0.18231466490667686,0.12956883489920856,0.8106223175965666,0.18937768240343344
2,сезонная амплитуда,0.3661396556683112,0.5363900056743335,0.42872537838896463,0.5928111587982833,0.4071888412017167
2,занятость: сельское хозяйство,0.0,0.1118372210384659,0.015601290407894519,0.8127682403433476,0.1872317596566524
2,занятость: добыча,0.0,0.0,0.0,0.8310085836909872,0.16899141630901282
2,занятость: промышленность,0.0,0.17983028010238725,0.04446379549132351,0.634656652360515,0.36534334763948495
2,занятость: рыночные услуги,0.03577449099572994,0.2503491365369765,0.0990567265157429,0.6888412017167382,0.31115879828326176
