method,param,K,SW,CH,S_Dbw,WB,AVI,AVU,ANUI,modularity,density_modularity,MQ,conductance
kefrin_e,10.0,10,0.06504210610718474,196.28838348236195,0.5953130672370726,11.355174714601345,0.5924490905382849,0.5267147141772088,0.4515440295423702,0.5402051769191961,18.587042831788875,5.924490905382848,0.4075509094617152
kefrin_c,10.0,10,0.08174779026302345,209.63758106402588,0.7295425943442092,10.632105548900405,0.7356972257969022,0.5259554797538367,0.5304447998681378,0.6441079607624882,26.65282867611118,7.356972257969022,0.2643027742030978
kmeans,12.0,12,0.12856108586097795,225.75216188011208,0.7074185633146172,9.683990620399076,0.5090419146741246,0.5834465905460647,0.39247679074218655,0.4144190959416106,21.8859881124561,6.108502976089495,0.4909580853258753
kefrin_e,12.0,12,0.08107205946620666,174.39936776704593,0.6083603664436503,12.535491648696873,0.5383821791577452,0.5022282447172582,0.4237925888086191,0.5171713183779921,20.522554535527732,6.460586149892943,0.4616178208422548
kefrin_c,12.0,12,0.07666140599481647,180.88325148510378,0.7182420132896286,12.086148387054266,0.7433329656924951,0.5209542624285565,0.5358349229355172,0.6539136815800098,33.50705556550227,8.919995588309941,0.25666703430750487
leiden_mod,0.3,7,0.05025016547210686,189.1777545652823,0.6627933711353657,12.389582161598776,0.9411581311475723,0.5170299548819911,0.6330914392850967,0.6872813524204187,20.259453115186393,6.588106918033006,0.0588418688524277
leiden_mod,0.5,8,-0.0032566286590758153,165.6884887336987,0.6662852204510565,13.850431978684597,0.9203843711190395,0.5082397311311108,0.6270605531718618,0.7311676869568868,23.611108391739688,7.363074968952316,0.07961562888096048
leiden_mod,0.8,11,0.012560271972522009,146.29728523470624,0.6832376983616232,15.075467712621547,0.8914196538101195,0.5055304294514756,0.6145010485283225,0.755057329195868,32.9138762652198,9.805616191911314,0.10858034618988052
leiden_mod,1.0,15,-0.009328896854232153,115.61119487714082,0.6999863734229081,18.544299050856697,0.850234694801771,0.45969359095597956,0.6113069416128049,0.7572132434296249,44.33601113855741,12.753520422026567,0.14976530519822875
leiden_mod,1.5,22,-0.016224124327006848,85.34502016530169,0.6825615430576522,24.47655852569212,0.8034443113631763,0.4852628488314721,0.578066698466571,0.7487551096661557,65.18762470631656,17.675774849989875,0.1965556886368237
