territory_id,share_2023,share_2024,cafe_2023,cafe_2024,food_2023,food_2024,total_2023,total_2024,d_share_pp,d_cafe_pp,d_food_pp,growth_total,name,short,region,mo_type,macro,sub,market_access,population,wage,urban_share,lat,lon,type,log_access,log_pop,log_wage,start,access_q
11,0.1242440839611022,0.1665989617764511,0.038790318481947084,0.04559250757449725,0.3799721031789876,0.3618038338419778,22546.416666666668,26996.5,4.235487781534888,0.6802189092550169,-1.8168269337009824,0.19737430559918967,Кош-Агачский муниципальный район,Кош-Агачский,Республика Алтай,муниципальный район,3,2,191.0,18620.0,70732.2,0.0,49.795772746916946,87.98988015707728,Сельские и малые,5.25227342804663,9.831991550831058,11.166656193745377,12.42440839611022,q1 (низкая)
12,0.1104448979694219,0.14872946247552993,0.036304829470957395,0.04217199047498002,0.4027726428381815,0.37691708708473043,28645.916666666668,34627.333333333336,3.8284564506108025,0.5867161004022625,-2.585555575345105,0.2088052107484779,Майминский муниципальный район,Майминский,Республика Алтай,муниципальный район,3,2,214.9,30941.0,73551.6,0.0,51.848980310707205,86.01747020359242,Сельские и малые,5.370172803648464,10.339837444225314,11.205742479701877,11.044489796942191,q1 (низкая)
13,0.11805930384048123,0.16766125000659735,0.023639647696267033,0.026568278046707947,0.4257766696699931,0.40250588354614986,20965.75,24702.25,4.960194616611611,0.2928630350440914,-2.3270786123843257,0.17821923851996702,Онгудайский муниципальный район,Онгудайский,Республика Алтай,муниципальный район,3,2,202.6,14025.0,46742.2,0.0,50.73196515511987,86.46401407324883,Сельские и малые,5.311233591814583,9.548596730390898,10.752402675876885,11.805930384048123,q1 (низкая)
14,0.14180800606945185,0.19979574975495387,0.020369379002875665,0.0188804677722257,0.45029351952453966,0.43392458918646865,22928.583333333332,27190.833333333332,5.798774368550203,-0.14889112306499636,-1.636893033807102,0.18589242684713048,Турочакский муниципальный район,Турочакский,Республика Алтай,муниципальный район,3,2,210.9,10794.0,57696.8,0.0,52.02806568935424,87.4815501070271,Сельские и малые,5.351384087484729,9.286745703178589,10.962956991686172,14.180800606945185,q1 (низкая)
15,0.18063102376470971,0.22216600322654612,0.019921027267754302,0.022031472372541442,0.37536416569745285,0.37269556317275016,25208.833333333332,29156.166666666668,4.1534979461836405,0.21104451047871398,-0.266860252470269,0.1565853239274595,Улаганский муниципальный район,Улаганский,Республика Алтай,муниципальный район,3,2,192.9,11926.0,63315.0,0.0,50.78773728053179,88.39226136461627,Сельские и малые,5.262171919911683,9.386476169683052,11.055877546884709,18.063102376470972,q1 (низкая)
16,0.11659591135599197,0.1746182294776365,0.02521900940957005,0.02615688600047417,0.40881446155040074,0.38669818019434726,20101.0,22948.416666666668,5.802231812164453,0.09378765909041215,-2.211628135605348,0.1416554731937052,Усть-Канский муниципальный район,Усть-Канский,Республика Алтай,муниципальный район,3,2,204.7,14207.0,45304.0,0.0,50.91043327601847,84.68219241804218,Сельские и малые,5.321545492667243,9.561490079872078,10.721150607793641,11.659591135599197,q1 (низкая)
17,0.1399379315960596,0.1881362319480376,0.022366853878292126,0.023328241162019144,0.39793232406395934,0.3917718352914738,22822.083333333332,26901.5,4.8198300351978,0.09613872837270186,-0.616048877248554,0.1787486535336753,Усть-Коксинский муниципальный район,Усть-Коксинский,Республика Алтай,муниципальный район,3,2,198.8,15634.0,47699.6,0.0,50.09561136257983,85.64658520570451,Сельские и малые,5.292299294222474,9.657203308780275,10.772678291097037,13.99379315960596,q1 (низкая)
18,0.13581317170252538,0.18949638769253055,0.019460932458488987,0.021681348940605333,0.45767770263845176,0.43819825630928594,26238.75,30129.0,5.368321599000517,0.22204164821163463,-1.9479446329165817,0.1482635415177933,Чемальский муниципальный район,Чемальский,Республика Алтай,муниципальный район,3,2,207.6,10557.0,65317.7,0.0,51.34412101839298,86.20900403676777,Сельские и малые,5.335613151291733,9.264544425989694,11.087018335196865,13.581317170252538,q1 (низкая)
19,0.1309481700010944,0.19922435602306243,0.013570523042481767,0.013574651143663331,0.5066124003443851,0.4729776214711825,19854.583333333332,22535.833333333332,6.827618602196803,0.00041281011815639396,-3.3634778873202653,0.13504438521751916,Чойский муниципальный район,Чойский,Республика Алтай,муниципальный район,3,0,210.2,7439.0,55749.4,0.0,51.69291161138586,86.6994549709036,Сельские и малые,5.348059458442851,8.914491710191342,10.928621926932612,13.09481700010944,q1 (низкая)
20,0.12062256387115662,0.17245062769860742,0.022827458523136127,0.022273493530614946,0.46033776239061647,0.43211340664056214,20278.083333333332,23495.416666666668,5.182806382745079,-0.05539649925211804,-2.822435575005433,0.15866062292212058,Шебалинский муниципальный район,Шебалинский,Республика Алтай,муниципальный район,3,2,207.8,12114.0,50870.5,0.0,51.32859875105686,85.50092667928732,Сельские и малые,5.336576078665127,9.402117087540892,10.837038466744326,12.062256387115662,q1 (низкая)
21,0.0841791696554318,0.11830489815954796,0.07429270695360402,0.07467145687289281,0.3573941002326686,0.3427482683553293,31198.5,36143.166666666664,3.4125728504116157,0.03787499192887955,-1.464583187733931,0.15849052571971933,городской округ город Уфа,Уфа,Республика Башкортостан,городской округ,0,4,374.3,1186715.0,87313.0,0.980272432723948,54.751094877331155,56.052402784525945,Крупные и средние города,5.925057614910384,13.986699543667724,11.377254642539828,8.41791696554318,q4
22,0.09130818112701376,0.14734775942320902,0.03261566034708358,0.032909769445583,0.4511138850763568,0.4297315856379884,19597.333333333332,20883.916666666668,5.603957829619525,0.02941090984994177,-2.138229943836839,0.06565093890325224,городской округ город Агидель,Агидель,Республика Башкортостан,городской округ,0,1,319.2,13728.0,63802.6,1.0,55.87810885098338,53.99196640628897,Крупные и средние города,5.765817865575654,9.527192821727743,11.063549220853623,9.130818112701377,q3
23,0.0941559518295058,0.1311367557901135,0.04291310853122554,0.04217572214211374,0.4054281148669332,0.3873523077135295,24109.583333333332,28081.916666666668,3.6980803960607695,-0.0737386389111798,-1.8075807153403678,0.16476159203636187,городской округ город Кумертау,Кумертау,Республика Башкортостан,городской округ,0,4,306.7,61143.0,60446.9,0.9369674369919696,52.80018123467925,55.83241840425386,Крупные и средние города,5.725870071120206,11.02097066195449,11.009520572676687,9.41559518295058,q2
25,0.08175132275476259,0.1186430289070338,0.06047056365353682,0.0611699574387442,0.3853264696698002,0.3718051850754855,26973.5,31653.666666666668,3.689170615227122,0.06993937852073778,-1.352128459431473,0.1735098028311739,городской округ город Нефтекамск,Нефтекамск,Республика Башкортостан,городской округ,0,4,323.7,144598.0,63974.7,0.9264305177111716,56.18956873137521,54.38976944911235,Крупные и средние города,5.779817160932199,11.881712757352505,11.066242971685224,8.175132275476258,q3
26,0.08786619095653912,0.12562939379925211,0.05629282250640411,0.05632863897434406,0.40300789616817784,0.3867786671222692,27411.416666666668,31620.25,3.776320284271299,0.003581646793994475,-1.6229229045908622,0.1535430796778714,городской округ город Октябрьский,Октябрьский,Республика Башкортостан,городской округ,0,4,338.4,116427.0,68419.2,1.0,54.4923567242332,53.48382741145251,Крупные и средние города,5.824228627732068,11.665019746144086,11.13340876597566,8.786619095653911,q3
27,0.09628809858370836,0.12772021241905082,0.06491553277610117,0.06607526358204545,0.3799070511455694,0.3643846237509106,26766.416666666668,31226.583333333332,3.143211383534246,0.11597308059442812,-1.552242739465881,0.16663293866381057,городской округ город Салават,Салават,Республика Башкортостан,городской округ,0,4,313.8,146633.0,73747.8,1.0,53.378067575552514,55.91451477843879,Крупные и средние города,5.748755840298932,11.895688145422199,11.208406443248654,9.628809858370836,q3
28,0.07664173673080481,0.11503442632347367,0.05814623182264616,0.059723186128132016,0.3985978769582177,0.37966721203653453,25051.416666666668,29375.666666666668,3.8392689592668865,0.15769543054858573,-1.893066492168316,0.17261498850697055,городской округ город Сибай,Сибай,Республика Башкортостан,городской округ,0,4,288.3,56470.0,56023.4,0.9895696830175316,52.79125571883822,58.69108717330202,Крупные и средние города,5.664001604644357,10.941464802666882,10.93352473958216,7.664173673080481,q2
29,0.08091650997891657,0.11796854093466536,0.06017239679305913,0.06101573333287405,0.3821852217440475,0.3691113082001852,26917.75,31903.833333333332,3.7052030955748787,0.0843336539814922,-1.3073913543862337,0.18523403082848056,городской округ город Стерлитамак,Стерлитамак,Республика Башкортостан,городской округ,0,4,343.8,280497.0,65443.6,1.0,53.65019289369484,55.970251895796224,Крупные и средние города,5.8400600929487485,12.544318308700529,11.08894398198845,8.091650997891657,q4
30,0.05606300749565233,0.1117870353841696,0.04059725943009435,0.03632865312396479,0.45306525562694194,0.42995624423728374,16901.75,18653.083333333332,5.572402788851727,-0.42686063061295604,-2.3109011389658205,0.10361846159914401,Абзелиловский муниципальный район,Абзелиловский,Республика Башкортостан,муниципальный район,3,2,294.7,43983.0,52673.4,0.0,53.39766286727516,58.54805227860741,Сельские и малые,5.685957889743649,10.691558474606374,10.871865863270388,5.606300749565233,q2
31,0.0862199125641156,0.13942542371202896,0.033185119176653115,0.029084999699120304,0.47229080982150573,0.44411477838626556,19074.583333333332,20695.25,5.320551114791336,-0.4100119477532811,-2.8176031435240168,0.08496472181567971,Альшеевский муниципальный район,Альшеевский,Республика Башкортостан,муниципальный район,3,1,324.0,35536.0,60609.4,0.0,53.96225931805557,54.924573931226085,Сельские и малые,5.780743515792329,10.478301546134208,11.01220527553979,8.62199125641156,q3
32,0.0928016434859094,0.15408192147066652,0.019329396410974347,0.01580060049165426,0.47754072393682884,0.4594709219420814,19086.916666666668,21913.0,6.128027798475712,-0.3528795919320087,-1.8069801994747448,0.14806390066494046,Архангельский муниципальный район,Архангельский,Республика Башкортостан,муниципальный район,3,0,316.6,16616.0,46871.6,0.0,54.49003880166816,56.91745124122973,Сельские и малые,5.757639147446912,9.718121365555948,10.755167227308709,9.28016434859094,q3
33,0.07992442364128007,0.13957526844257878,0.020223719831082027,0.02088088133078333,0.4812077576948968,0.45113059913151554,17961.333333333332,19932.833333333332,5.965084480129872,0.06571614997013045,-3.0077158563381277,0.1097635661791998,Аскинский муниципальный район,Аскинский,Республика Башкортостан,муниципальный район,3,0,317.4,17418.0,47944.1,0.0,56.12004679746268,56.766317427287525,Сельские и малые,5.760162808092309,9.765259433252686,10.777791027902573,7.9924423641280065,q3
34,0.07572684503908696,0.11712569194487725,0.03090506731477684,0.023902219487390745,0.44792931212843506,0.4424616781531007,16738.583333333332,17523.083333333332,4.139884690579029,-0.7002847827386096,-0.5467633975334341,0.046867765591472876,Аургазинский муниципальный район,Аургазинский,Республика Башкортостан,муниципальный район,3,0,322.3,29757.0,47303.5,0.0,54.03888369222951,55.856681059184766,Сельские и малые,5.775482788821392,10.300819677414104,10.764339567514142,7.572684503908696,q3
35,0.0677067085518682,0.1148510317007037,0.06295485899320132,0.05570656166355556,0.4148424124907339,0.40115917040238963,19344.416666666668,21557.916666666668,4.71443231488355,-0.7248297329645756,-1.368324208834426,0.11442578177165674,Баймакский муниципальный район,Баймакский,Республика Башкортостан,муниципальный район,3,2,288.3,53399.0,47395.4,0.3292196483080207,52.68391928068912,58.244658507623704,Сельские и малые,5.664001604644357,10.885547298181182,10.766280456560358,6.770670855186819,q2
36,0.09700619854465363,0.1473988718104965,0.021814631734019558,0.019659844437277887,0.4899010326932805,0.4705061221702292,18284.083333333332,20598.5,5.039267326584286,-0.21547872967416712,-1.9394910523051312,0.12658095155622617,Бакалинский муниципальный район,Бакалинский,Республика Башкортостан,муниципальный район,3,0,333.9,24813.0,43414.8,0.0,55.13431790687014,53.75545482809095,Сельские и малые,5.810841546949609,10.119122988360017,10.678555675781382,9.700619854465362,q3
37,0.08123251556102452,0.12061034494809979,0.02288422074779098,0.02407845436105099,0.47252070043545397,0.45635551653949374,17268.833333333332,19455.166666666668,3.9377829387075263,0.11942336132600116,-1.6165183895960222,0.12660573480161763,Балтачевский муниципальный район,Балтачевский,Республика Башкортостан,муниципальный район,3,0,320.2,17837.0,45217.8,0.0,55.94422274908649,56.0001838383442,Сельские и малые,5.768945800562614,9.789030230558303,10.719246093609097,8.123251556102453,q3
38,0.0963532582591501,0.13387409476861598,0.043163528036075975,0.042408593261010104,0.4112319650659864,0.3959975922566861,25509.083333333332,29403.083333333332,3.7520836509465876,-0.07549347750658714,-1.523437280930029,0.15265150648951842,Белебеевский муниципальный район,Белебеевский,Республика Башкортостан,муниципальный район,0,4,327.7,94978.0,58297.8,0.821011181536777,54.132864905013925,54.19794831140674,Крупные и средние города,5.792098555704769,11.461400564816765,10.973319635777512,9.635325825915011,q3
39,0.09424571391581897,0.1459900314731739,0.020471439360196426,0.016159569425852508,0.3967189478588709,0.38200391634115777,20074.5,22951.916666666668,5.174431755735494,-0.43118699343439176,-1.471503151771314,0.14333690336828653,Белокатайский муниципальный район,Белокатайский,Республика Башкортостан,муниципальный район,3,0,307.7,17369.0,50585.9,0.0,55.790245832930005,58.98267687358839,Сельские и малые,5.729125282327996,9.762442287054013,10.831428160317243,9.424571391581898,q2
40,0.08214044605619762,0.123081167151002,0.03564496508762972,0.042151208648235766,0.44189370527252975,0.42249536165363183,23985.916666666668,28505.0,4.094072109480437,0.650624356060605,-1.9398343618897917,0.18840569639823368,Белорецкий муниципальный район,Белорецкий,Республика Башкортостан,муниципальный район,0,1,302.2,96915.0,57286.0,0.6577206830727957,54.06431383281913,57.893761455800174,Крупные и средние города,5.711089049838639,11.481589584660375,10.955811544752127,8.214044605619762,q2
41,0.08508746238545874,0.12833033731375423,0.03052298631130582,0.03077435744033821,0.4767786342361407,0.45950497726769335,18726.5,20870.25,4.32428749282955,0.025137112903238917,-1.7273656968447348,0.11447681093637363,Бижбулякский муниципальный район,Бижбулякский,Республика Башкортостан,муниципальный район,3,0,323.0,20951.0,50782.7,0.0,53.6663847509239,54.21171414456946,Сельские и малые,5.777652323222656,9.949941656908011,10.83531102438475,8.508746238545873,q3
42,0.08903933825200744,0.12936998194019486,0.05218365789174418,0.052702744660426605,0.42240172883906,0.4018391552138634,23917.5,27900.083333333332,4.033064368818742,0.05190867686824252,-2.0562573625196645,0.16651336190376642,Бирский муниципальный район,Бирский,Республика Башкортостан,муниципальный район,0,1,327.0,61478.0,50586.9,0.7292527408178535,55.35606658182066,55.531086577482625,Крупные и средние города,5.7899601708972535,11.026434666219032,10.831447928476274,8.903933825200744,q3
43,0.08255410727875359,0.13180938306145548,0.021269037908416197,0.02955593297943361,0.4863513013620284,0.47258914066597796,18737.0,21285.75,4.925527578270189,0.8286895071017413,-1.3762160696050463,0.13602764583444515,Благоварский муниципальный район,Благоварский,Республика Башкортостан,муниципальный район,3,0,329.2,23850.0,57138.2,0.0,54.72571063056697,54.93392214207295,Сельские и малые,5.796665468802915,10.079539496316487,10.9532281737135,8.25541072787536,q3
44,0.09275581638456538,0.1385567947863364,0.04566002453674683,0.04618034384910046,0.43296088501118923,0.40943537162663873,25078.75,30654.583333333332,4.5800978401771015,0.05203193123536343,-2.35255133845505,0.22233298443237137,Благовещенский муниципальный район,Благовещенский,Республика Башкортостан,муниципальный район,0,4,328.0,48718.0,75715.0,0.7233055544152058,55.2074377948752,56.21765907238151,Крупные и средние города,5.793013608384144,10.793803850638048,11.234731570390755,9.275581638456538,q3
45,0.08285939328305837,0.12511163404255907,0.027240868305762302,0.02912682236896312,0.4812848485630929,0.45865284902394493,19383.333333333332,21210.25,4.225224075950069,0.18859540632008182,-2.2631999539147962,0.09425193465176274,Буздякский муниципальный район,Буздякский,Республика Башкортостан,муниципальный район,3,0,331.8,25432.0,52308.9,0.0,54.65097374953429,54.49885685693124,Сельские и малые,5.8045323777563445,10.14376350259064,10.864921807659517,8.285939328305837,q3
46,0.08794707209956322,0.13371710182289856,0.02094247695166052,0.021743473729787213,0.47325249295143784,0.4636642416962362,18467.0,20150.416666666668,4.577002972333534,0.08009967781266933,-0.958825125520163,0.09115810183931705,Бураевский муниципальный район,Бураевский,Республика Башкортостан,муниципальный район,3,1,325.1,20840.0,71323.4,0.0,55.80845333392964,55.38269349935957,Сельские и малые,5.784132827309859,9.944629495867304,11.174979743302924,8.794707209956321,q3
47,0.07899030092967613,0.13025295716702384,0.02552514270080121,0.034057785156738137,0.4716336137483612,0.4265955820096647,17520.583333333332,19806.416666666668,5.1262656237347715,0.8532642455936927,-4.5038031738696525,0.13046559522846946,Бурзянский муниципальный район,Бурзянский,Республика Башкортостан,муниципальный район,3,2,295.4,17061.0,37911.8,0.0,53.20916716894795,57.46225035381736,Сельские и малые,5.68833037009728,9.74455043597491,10.543017688258958,7.899030092967613,q2
48,0.07494915282563097,0.11702757292746367,0.021670936650568462,0.018247788390429526,0.46459983310629865,0.45099992175192694,19208.833333333332,20639.166666666668,4.20784201018327,-0.34231482601389357,-1.3599911354371719,0.07446226996260408,Гафурийский муниципальный район,Гафурийский,Республика Башкортостан,муниципальный район,3,0,312.2,29525.0,48074.0,0.0,53.98826829143152,56.645906163125765,Сельские и малые,5.743644008081332,10.292992641065563,10.780496769408607,7.494915282563097,q3
49,0.10236456109701136,0.1480524939013847,0.03876646453482923,0.03425466481200589,0.44221938507574615,0.42961252695667557,21299.666666666668,24017.166666666668,4.568793280437333,-0.451179972282334,-1.2606858119070585,0.1275841562465767,Давлекановский муниципальный район,Давлекановский,Республика Башкортостан,муниципальный район,0,1,325.1,35565.0,49262.3,0.5955293125263602,54.25385873880568,55.045398758056486,Крупные и средние города,5.784132827309859,10.479117287167616,10.80491436161174,10.236456109701136,q3
50,0.08808701173206024,0.1349130544326769,0.02882234972761766,0.028919874333864684,0.3876157865376087,0.3808200833756812,21333.666666666668,23979.333333333332,4.682604270061666,0.009752460624702294,-0.6795703161927513,0.12401368728613593,Дуванский муниципальный район,Дуванский,Республика Башкортостан,муниципальный район,3,2,306.3,30750.0,51092.4,0.0,55.69877632839513,57.82421455360363,Сельские и малые,5.724565013838729,10.333645273234664,10.841391037146348,8.808701173206025,q2
51,0.08111137537378482,0.12101246088723701,0.041079715830940666,0.04488408117857077,0.4177948452026213,0.39924122091897973,22971.583333333332,26568.25,3.9901085513452186,0.3804365347630102,-1.8553624283641545,0.15657025527916746,Дюртюлинский муниципальный район,Дюртюлинский,Республика Башкортостан,муниципальный район,0,1,331.3,59179.0,56946.4,0.5249666266750029,55.50327231208848,54.89282923825661,Крупные и средние города,5.80302430930585,10.988322028210893,10.949865753532242,8.111137537378482,q3
52,0.08524304578578858,0.13976773451440114,0.027340557095366674,0.024137038451455654,0.4817799326098425,0.45644308582318677,17323.25,19679.333333333332,5.452468872861256,-0.3203518643911021,-2.533684678665571,0.13600700407448563,Ермекеевский муниципальный район,Ермекеевский,Республика Башкортостан,муниципальный район,3,0,330.3,14369.0,56981.8,0.0,54.02950527023088,53.70105886610709,Сельские и малые,5.800001332396744,9.572828387229206,10.950487197584534,8.524304578578858,q3
53,0.08862025718940275,0.12600385711513618,0.03271575657831148,0.02867396184348817,0.42125219134863706,0.4130282973258881,19368.75,21520.5,3.7383599925733426,-0.40417947348233113,-0.8223894022748979,0.1110939012584704,Зианчуринский муниципальный район,Зианчуринский,Республика Башкортостан,муниципальный район,3,2,296.6,23381.0,43741.2,0.0,52.00011897378325,56.89552451557258,Сельские и малые,5.692384429703832,10.059679005711038,10.68604572869668,8.862025718940275,q2
54,0.10448182798136903,0.1544883655063819,0.025493660118050047,0.03345628915992019,0.43926401989242736,0.42255639836347,18473.5,22106.166666666668,5.000653752501287,0.7962629041870142,-1.6707621528957384,0.1966420367914401,Зилаирский муниципальный район,Зилаирский,Республика Башкортостан,муниципальный район,3,0,290.4,14231.0,45957.4,0.0,52.45267195435056,57.46956480689332,Сельские и малые,5.671259282950641,9.56317796268366,10.735470159431252,10.448182798136903,q2
55,0.09671238781340581,0.14584189051650823,0.03571827802497899,0.03784133762122173,0.4425233995193056,0.42458817749634953,24406.833333333332,28395.916666666668,4.912950270310241,0.21230595962427393,-1.7935222022956054,0.1634412493768822,Иглинский муниципальный район,Иглинский,Республика Башкортостан,муниципальный район,3,1,328.2,71099.0,63419.6,0.0,54.80660630380508,56.70981526686444,Сельские и малые,5.793623178655991,11.171828550994814,11.057528240913824,9.67123878134058,q3
56,0.08848469791995046,0.13260867998321316,0.02537290838113683,0.027221001004933732,0.4581469651747785,0.4453033992003977,17703.0,20062.833333333332,4.4123982063262694,0.1848092623796902,-1.28435659743808,0.1333013236927827,Илишевский муниципальный район,Илишевский,Республика Башкортостан,муниципальный район,3,1,332.5,30405.0,62935.4,0.0,55.47992326432271,54.30935857545274,Сельские и малые,5.806639860095909,10.32236234755421,11.049864082469291,8.848469791995047,q3
57,0.08917398964732166,0.12192741762578597,0.04890132734183939,0.04982328495792598,0.38771773718630204,0.3737002263517683,27003.333333333332,31378.333333333332,3.275342797846431,0.09219576160865856,-1.401751083453373,0.1620170349339587,Ишимбайский муниципальный район,Ишимбайский,Республика Башкортостан,муниципальный район,0,4,315.0,82948.0,62428.7,0.7555576987992477,53.49721753529754,56.55960502167051,Крупные и средние города,5.752572638825633,11.325969184417731,11.04178038451686,8.917398964732167,q3
58,0.08152694713797158,0.1336441820220325,0.022235763413774628,0.02134544429405175,0.4944051901414655,0.47946168498721314,18403.083333333332,20150.5,5.211723488406091,-0.0890319119722878,-1.4943505154252357,0.09495238569623754,Калтасинский муниципальный район,Калтасинский,Республика Башкортостан,муниципальный район,3,1,320.4,21101.0,66702.3,0.0,55.94929007154742,54.81676908417138,Сельские и малые,5.769570215194204,9.957075711706057,11.10799471406782,8.152694713797159,q3
59,0.1037944075101551,0.1575588912439269,0.025171090608454544,0.032797937179030213,0.42583840145767465,0.4140923165180945,19068.583333333332,20666.666666666668,5.376448373377181,0.7626846570575669,-1.1746084939580126,0.08380713477229129,Караидельский муниципальный район,Караидельский,Республика Башкортостан,муниципальный район,3,0,315.0,23105.0,44545.4,0.0,55.76174875732893,56.94688232159578,Сельские и малые,5.752572638825633,10.047804323304367,10.704264172797894,10.37944075101551,q3
60,0.09337516993802548,0.14138452324412196,0.029656960051388865,0.027373289587904154,0.4455732638304368,0.4402865313448178,19348.833333333332,22027.5,4.800935330609647,-0.22836704634847105,-0.5286732485619006,0.13844073286072378,Кармаскалинский муниципальный район,Кармаскалинский,Республика Башкортостан,муниципальный район,3,1,324.2,51575.0,55837.1,0.0,54.35523968426201,56.10763718201746,Сельские и малые,5.781360609301576,10.850792337939453,10.93019380199021,9.337516993802549,q3
61,0.07928640178708753,0.12730666245237138,0.025437992815522854,0.02631521198339287,0.4563148121981468,0.4492167943723196,19240.083333333332,21733.583333333332,4.802026066528385,0.0877219167870015,-0.7098017825827196,0.1295992307725624,Кигинский муниципальный район,Кигинский,Республика Башкортостан,муниципальный район,3,0,310.7,16339.0,43959.4,0.0,55.427550450229674,58.71884453006861,Сельские и малые,5.738827816399001,9.701310167030824,10.691021759652802,7.928640178708752,q3
