id,beh,beh_name,switches_beh,beh_seq,macro,sub
1754,1,Продукты и маркетплейсы,5,333331311111131111111111,3,0
1755,1,Продукты и маркетплейсы,0,111111111111111111111111,3,1
1756,1,Продукты и маркетплейсы,0,111111111111111111111111,3,1
1757,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1758,4,Общепит и услуги,1,444444444444444433333333,0,1
1759,0,Базовая корзина малых городов,1,111111111111000000000000,3,1
1760,1,Продукты и маркетплейсы,6,333333111131333111111133,3,0
1761,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1762,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1764,4,Общепит и услуги,1,444444444444444444444333,0,4
1765,0,Базовая корзина малых городов,1,000000000000003333333333,0,4
1766,0,Базовая корзина малых городов,0,000000000000000000000000,3,1
1768,0,Базовая корзина малых городов,2,000000000000000330000000,3,1
1769,0,Базовая корзина малых городов,3,001111000000000000011111,3,1
1770,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
1771,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1773,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1774,0,Базовая корзина малых городов,3,111111000111111000000000,3,1
1775,1,Продукты и маркетплейсы,2,111111111111113311111111,3,0
1776,0,Базовая корзина малых городов,2,000000000011000000000000,3,1
1777,1,Продукты и маркетплейсы,4,111133311111113331111111,3,0
1778,0,Базовая корзина малых городов,1,000000000000000033333333,3,1
1780,0,Базовая корзина малых городов,0,000000000000000000000000,3,1
1781,1,Продукты и маркетплейсы,3,111111003311111111111111,3,0
1782,0,Базовая корзина малых городов,0,000000000000000000000000,3,1
1783,4,Общепит и услуги,0,444444444444444444444444,0,1
1784,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1785,0,Базовая корзина малых городов,5,000000000000000033033001,3,1
1786,0,Базовая корзина малых городов,2,000000000000000003333000,3,1
1787,3,Транспортная корзина,4,111111303333333333333111,3,0
1788,0,Базовая корзина малых городов,2,000000000000000003333000,3,1
1845,4,Общепит и услуги,0,444444444444444444444444,0,4
1846,0,Базовая корзина малых городов,1,000000000000003333333333,0,4
1848,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1849,1,Продукты и маркетплейсы,2,111111111101111111111111,3,0
1850,1,Продукты и маркетплейсы,5,111111111111101100010000,3,0
1851,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1852,1,Продукты и маркетплейсы,1,111111111111111111100000,3,0
1853,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1854,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1855,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1856,1,Продукты и маркетплейсы,0,111111111111111111111111,3,1
1857,1,Продукты и маркетплейсы,1,011111111111111111111111,3,0
1858,1,Продукты и маркетплейсы,1,111111111111111111111110,3,0
1859,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
1860,1,Продукты и маркетплейсы,3,111111111111111301111111,3,1
1861,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
1862,1,Продукты и маркетплейсы,0,111111111111111111111111,3,1
1863,3,Транспортная корзина,2,000000004444433333333333,0,1
1864,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1865,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1868,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1869,1,Продукты и маркетплейсы,3,111111111011111100000000,3,0
1870,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1871,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1872,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1873,1,Продукты и маркетплейсы,0,111111111111111111111111,3,1
1874,4,Общепит и услуги,0,444444444444444444444444,0,4
1875,0,Базовая корзина малых городов,1,000000000000000333333333,0,4
1876,0,Базовая корзина малых городов,1,000000000000003333333333,0,4
1877,4,Общепит и услуги,3,400044444444444443333333,0,4
1878,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
1879,0,Базовая корзина малых городов,1,000000000000000033333333,0,3
1880,0,Базовая корзина малых городов,3,111111000000003333000000,0,1
1881,4,Общепит и услуги,2,000044444444444333333333,0,4
1883,0,Базовая корзина малых городов,1,000000000000003333333333,0,4
1884,1,Продукты и маркетплейсы,2,111111111111111110111111,3,0
1885,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
1886,0,Базовая корзина малых городов,2,000000001111000000000000,3,0
1887,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1888,1,Продукты и маркетплейсы,1,111111111111110000000000,3,0
1889,1,Продукты и маркетплейсы,1,111111111111111111100000,3,0
1890,4,Общепит и услуги,1,444444444444444444433333,2,5
1891,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1892,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1893,1,Продукты и маркетплейсы,7,333303111111110333111110,3,0
1894,0,Базовая корзина малых городов,0,000000000000000000000000,3,1
1895,0,Базовая корзина малых городов,0,000000000000000000000000,3,1
