graph,method,K,ami_median,switch_median,switch_max,share_never_switch,SW,CH,AVI,MQ,Q
knn_minsize,kefrin_t_affect_fe,6,0.9142746412696864,0.027281746031746,0.1349206349206349,0.6909722222222222,0.1675917993648783,385.3511577124216,0.6813340771280817,4.08800446276849,0.481492724232354
learned_beh_windowlog,kefrin_t_affect_fe,6,0.8401105495289336,0.0610119047619047,0.0922619047619047,0.5124007936507936,0.2020697846170514,588.5096479996372,0.85597692175027,5.135861530501619,0.6695583494253811
learned_tgfa1,kefrin_t_affect_fe,6,0.9485709991203606,0.0153769841269841,0.0297619047619047,0.8095238095238095,0.1672383678784706,387.6343662246465,0.6726528026553943,4.035916815932366,0.4957805782130246
learned_tgfa_s02,kefrin_t_affect_fe,6,0.9500752228496488,0.0143849206349206,0.0307539682539682,0.8060515873015873,0.1665768940483393,387.0334990906912,0.677702565070471,4.066215390422826,0.5130289972889156
learned_windowlog,kefrin_t_affect_fe,6,0.9318974295809208,0.0228174603174603,0.0426587301587301,0.7743055555555556,0.1666027977849623,387.37528743396734,0.680293685136368,4.081762110818208,0.5208310199306398
learned_windowlog_2pass,kefrin_t_affect_fe,6,0.9318974295809208,0.0228174603174603,0.0426587301587301,0.7743055555555556,0.1666027977849623,387.37528743396734,0.680293685136368,4.081762110818208,0.5208310199306398
learned_windowlog_2pass_ma3,kefrin_t_affect_fe,6,0.9398555392216772,0.019345238095238,0.0332341269841269,0.7951388888888888,0.1700030318946395,397.48252482446213,0.6822687653789291,4.0936125922735735,0.5252517143442895
knn,kefrin_warm,6,0.8462330390769282,0.0560515873015873,0.2514880952380952,0.4389880952380952,0.1659737915122291,370.07687436662223,0.7085316295467704,4.251189777280622,0.5040716695081039
knn_minsize,kefrin_warm,6,0.8179780195935119,0.0739087301587301,0.1235119047619047,0.5406746031746031,0.1598374262312255,386.53458497866274,0.7134226146165901,4.28053568769954,0.5217997946395364
learned_beh_windowlog,kefrin_warm,6,0.7163516067547125,0.1284722222222222,0.2103174603174603,0.3973214285714285,0.2102406636762487,603.1077029736686,0.8869706597032683,5.3218239582196105,0.6941325100061532
learned_tgfa1,kefrin_warm,6,0.8683223012902604,0.050595238095238,0.1676587301587301,0.5952380952380952,0.1641484190797271,389.71254865922293,0.7015846351023948,4.209507810614368,0.5248271228109916
learned_tgfa_s02,kefrin_warm,6,0.8638541552888662,0.0510912698412698,0.1438492063492063,0.5828373015873016,0.1628294017213733,389.0260808438635,0.7045914639061417,4.22754878343685,0.5406319239353202
learned_windowlog,kefrin_warm,6,0.8554083312631737,0.0535714285714285,0.0709325396825396,0.6949404761904762,0.1645137411547217,388.786230321529,0.6968696743754039,4.181218046252423,0.5367872565333428
learned_windowlog_2pass,kefrin_warm,6,0.8554083312631737,0.0535714285714285,0.0709325396825396,0.6949404761904762,0.1645137411547217,388.786230321529,0.6968696743754039,4.181218046252423,0.5367872565333428
learned_windowlog_2pass_ma3,kefrin_warm,6,0.930113050177137,0.0223214285714285,0.0357142857142857,0.7847222222222222,0.168921034730919,397.42170774891525,0.6863026587332249,4.117815952399351,0.5294271051865834
knn,temporal_leiden_w2.0,6,0.8142735170504237,0.0734126984126984,0.0828373015873015,0.4672619047619047,0.0892191463897115,275.20306257429365,0.896627769381871,5.379766616291225,0.7121287701319687
