method,ami_median,ami_min,ari_median,switch_median,switch_max,share_never_switch,share_switch_gt3,n_events,min_cluster_size,SW,CH,S_Dbw,AVI,AVU,ANUI,MQ,Q,K_mean,K,sec,alpha_mean,beta_mean,xi,reset_share
kefrin_warm,0.8179780195935119,0.7411064298162413,0.8332298892103601,0.07390873015873016,0.12351190476190477,0.5406746031746031,0.1974206349206349,2,108,0.1598374262312255,386.53458497866274,0.7505628650496755,0.7134226146165901,0.5310806293532385,0.5170864965482154,4.28053568769954,0.5217997946395364,6.0,6,4.0,0.0,0.0,458.41703502755354,0.0
kefrin_fixed0.5,0.9133431709391053,0.7898042823571461,0.9267835931486306,0.027777777777777776,0.09722222222222222,0.6865079365079365,0.05704365079365079,0,114,0.164673276438412,386.5292011469658,0.7536576048052498,0.6866599949503712,0.530335274047646,0.5031620405135434,4.119959969702228,0.4917759495486595,6.0,6,3.9,0.5,0.5,458.41703502755354,0.0
kefrin_t_affect,0.9024124591421746,0.8066621202988761,0.9170744072631739,0.031746031746031744,0.08432539682539683,0.6716269841269841,0.0763888888888889,0,114,0.1648450194810274,386.4891203774284,0.7531360450899555,0.6916815606877226,0.529470462297589,0.5060932042188132,4.150089364126335,0.49576149061643743,6.0,6,5.1,0.481618259926119,0.22886036128161438,458.41703502755354,0.0
kefrin_t_affect_fe_noreset,0.9398420505647768,0.7841243025565713,0.9497618180425813,0.018353174603174604,0.11011904761904762,0.7237103174603174,0.03521825396825397,1,114,0.16695887702469317,387.04974972054,0.7532248072401391,0.6682491436139997,0.5265550344447342,0.49420286962959353,4.009494861683998,0.4741014788910262,6.0,6,5.0,0.5216851321280436,0.9003303213036837,458.41703502755354,0.0
kefrin_t_affect_fe,0.9142746412696865,0.747121729968114,0.9283177998003612,0.027281746031746032,0.1349206349206349,0.6909722222222222,0.06646825396825397,1,108,0.16759179936487834,385.35115771242164,0.7560915139726867,0.6813340771280817,0.5214434356066016,0.5027046753515355,4.08800446276849,0.48149272423235406,6.0,6,5.4,0.6300155681379117,0.8826864418349594,458.41703502755354,0.30592757936507936
kefrin_warm,0.8504528184803284,0.7962292831422044,0.8531927994861741,0.062003968253968256,0.09722222222222222,0.6309523809523809,0.18700396825396826,0,117,0.1614430788200358,365.52963905243536,0.7194186702824937,0.6086252399654204,0.5275932667631212,0.46065447032376383,4.260376679757943,0.443419436587874,7.0,7,3.9,0.0,0.0,458.41703502755354,0.0
kefrin_fixed0.5,0.9275344747081002,0.8538468560032882,0.9388087192950434,0.025297619047619048,0.06498015873015874,0.7068452380952381,0.05109126984126984,0,115,0.1630923062962966,365.52249977087405,0.7225304561733004,0.5918259394844928,0.5245743082880902,0.45161419436483063,4.1427815763914495,0.42037783694875835,7.0,7,3.9,0.5,0.5,458.41703502755354,0.0
kefrin_t_affect,0.9160477021055151,0.8439724632328799,0.9273004676582858,0.030753968253968252,0.07291666666666667,0.6954365079365079,0.07390873015873016,0,115,0.16291048716165948,365.63587451012654,0.7217929837264832,0.5971774004541849,0.5244641988734872,0.45474382535881436,4.180241803179294,0.4257522755684418,7.0,7,5.2,0.4858418275416479,0.2322410701980858,458.41703502755354,0.0
kefrin_t_affect_fe_noreset,0.9346144784007471,0.8598952119392976,0.9441711597530409,0.022321428571428572,0.059027777777777776,0.7306547619047619,0.04712301587301587,0,114,0.1633842410068412,365.7701350160753,0.7227050947315253,0.5837272630225082,0.5250129020057317,0.4468178386536485,4.086090841157557,0.41328208237126113,7.0,7,5.0,0.47616102329545035,0.899802404748125,458.41703502755354,0.0
kefrin_t_affect_fe,0.9263820966873596,0.7975766244793658,0.9408701400989614,0.025297619047619048,0.09970238095238096,0.7048611111111112,0.051587301587301584,0,112,0.1647342383239502,365.51771715535943,0.7244323090676262,0.58729700845989,0.5218890186570811,0.44952833614893734,4.111079059219229,0.4144438418031527,7.0,7,5.3,0.6019012016588866,0.8792556860288525,458.41703502755354,0.19326636904761904
kefrin_warm,0.847749083179524,0.8044492473200088,0.8451229918255829,0.06746031746031746,0.09226190476190477,0.6393849206349206,0.19791666666666666,0,97,0.1589654740324352,339.599744559753,0.7101810630847526,0.5938935856801278,0.5253760110181332,0.45266080837916983,4.751148685441023,0.45605730564984803,8.0,8,3.8,0.0,0.0,458.41703502755354,0.0
kefrin_fixed0.5,0.9216569659888978,0.8541828081344749,0.9307130081620294,0.02976190476190476,0.07539682539682539,0.7232142857142857,0.06547619047619048,0,94,0.1596854896067804,339.017863845647,0.7110248710016663,0.5783099161694037,0.5256056523028783,0.4435101912667732,4.62647932935523,0.43786732306008314,8.0,8,3.9,0.5,0.5,458.41703502755354,0.0
kefrin_t_affect,0.9088498527793331,0.8512000046847297,0.9146393620263634,0.03670634920634921,0.06696428571428571,0.7063492063492064,0.09275793650793651,0,94,0.15913318873131463,339.3359048014869,0.7105035672746514,0.5813040309465846,0.5266580088745992,0.44505296572937136,4.6504322475726765,0.442660325882013,8.0,8,5.2,0.4856674299536746,0.24683507525135176,458.41703502755354,0.0
kefrin_t_affect_fe_noreset,0.940660745089426,0.8652004998613215,0.9495370688241733,0.020833333333333332,0.06101190476190476,0.7559523809523809,0.047619047619047616,0,96,0.16043880058222604,339.5058658675525,0.7107012334198034,0.5661024920356094,0.5267862489821004,0.4360754474452502,4.528819936284876,0.4280871869305112,8.0,8,5.0,0.4999358962152913,0.9001598685717601,458.41703502755354,0.0
kefrin_t_affect_fe,0.9318703827825304,0.8687223782301748,0.9391255433164907,0.0248015873015873,0.057539682539682536,0.7271825396825397,0.047619047619047616,0,95,0.16060864208992795,338.363374192232,0.7123568867425231,0.5774947202055637,0.5254241613552595,0.4430188059401298,4.6199577616445096,0.43471310264838764,8.0,8,5.5,0.6255609184109419,0.8814735057723024,458.41703502755354,0.14996693121693122
temporal_leiden_w0.5,0.6160329470053795,0.5554091156248244,0.5336081868979796,0.25297619047619047,0.3219246031746032,0.1775793650793651,0.660218253968254,23,0,0.06801099928966098,219.27370671741133,0.7533949235816717,0.8969051719387323,0.4867088737408097,0.6244609452339308,7.24640799000872,0.749788079804078,8.083333333333334,8,21.6,,,,
temporal_leiden_w2.0,0.8336165729032513,0.7909197145696781,0.8271330266388832,0.06944444444444445,0.09027777777777778,0.4826388888888889,0.16468253968253968,0,35,0.08574104200947978,249.31586646578384,0.7688348642498536,0.8866137134390225,0.46320400181322247,0.6285355772520792,6.206295994073158,0.7113221507167841,7.0,7,25.0,,,,
