id,name,short,region,mo_type,lat,lon,macro,sub,switches_macro,switches_sub,population,wage,market_access,urban_share,total_2024,total_2023
506,городской округ город Белокуриха,Белокуриха,Алтайский край,городской округ,51.97969501257546,84.96313734461027,0,4,0,1,14879.0,63592.4,216.1,1.0,32902.916666666664,29016.666666666668
507,городской округ город Бийск,Бийск,Алтайский край,городской округ,52.504617840764325,85.0796560987163,0,4,0,0,188780.0,63225.9,230.7,0.9579987286788855,33803.5,27864.583333333332
508,городской округ город Заринск,Заринск,Алтайский край,городской округ,53.71935870074321,84.95379537184992,0,4,0,0,40255.0,64679.3,231.2,1.0,27837.5,23413.583333333332
509,городской округ город Новоалтайск,Новоалтайск,Алтайский край,городской округ,53.414609968701605,83.92362917011324,0,4,0,0,73511.0,69360.9,263.0,1.0,31390.5,26760.083333333332
510,городской округ город Рубцовск,Рубцовск,Алтайский край,городской округ,51.512838224632695,81.22096295054165,0,4,0,0,123379.0,52545.2,226.4,1.0,29461.666666666668,25120.416666666668
511,муниципальный округ город Славгород,Славгород,Алтайский край,муниципальный округ,53.066610534453986,78.88736831371303,3,1,0,0,36769.0,46914.9,228.3,0.7386385270200441,27493.5,22719.416666666668
512,городской округ город Яровое,Яровое,Алтайский край,городской округ,52.926254472534026,78.58387178804423,0,1,3,0,16528.0,46916.8,227.9,1.0,27459.083333333332,23713.083333333332
515,Алтайский муниципальный район,Алтайский,Алтайский край,муниципальный район,51.82097132646201,85.2755187667775,3,2,0,1,26284.0,44459.5,214.4,0.0,25760.333333333332,21978.416666666668
516,Баевский муниципальный район,Баевский,Алтайский край,муниципальный район,53.30496342483696,80.64903938106167,3,0,0,0,7821.0,44787.8,226.9,0.0,20637.333333333332,18047.916666666668
517,Бийский муниципальный район,Бийский,Алтайский край,муниципальный район,52.606077125004745,85.6425638295072,3,0,0,4,31583.0,48559.1,287.4,0.0,26901.75,21590.666666666668
518,Благовещенский муниципальный район,Благовещенский,Алтайский край,муниципальный район,52.906829229875754,79.93198944435326,3,1,0,0,25464.0,49998.5,224.3,0.6262566760917374,24352.25,20966.083333333332
519,Бурлинский муниципальный район,Бурлинский,Алтайский край,муниципальный район,53.34676172527213,78.36145915382583,3,0,0,0,7601.0,43452.0,229.5,0.0,20592.833333333332,18169.666666666668
520,Быстроистокский муниципальный район,Быстроистокский,Алтайский край,муниципальный район,52.34850635472611,84.47396987131708,3,0,0,0,7120.0,43273.5,214.2,0.0,18582.166666666668,15950.833333333334
521,Волчихинский муниципальный район,Волчихинский,Алтайский край,муниципальный район,52.06991149045087,80.47569785261685,3,0,0,0,14744.0,43276.0,220.1,0.0,20603.5,18246.666666666668
522,Егорьевский муниципальный район,Егорьевский,Алтайский край,муниципальный район,51.765286316619125,80.93061735564812,3,0,0,0,10678.0,41455.6,219.1,0.0,18130.75,15354.25
523,Ельцовский муниципальный район,Ельцовский,Алтайский край,муниципальный район,53.2501955532932,86.42716443646582,3,0,0,0,4672.0,39602.1,220.1,0.0,20419.916666666668,16417.666666666668
524,Завьяловский муниципальный район,Завьяловский,Алтайский край,муниципальный район,52.90135798841668,80.9089913365375,3,0,0,0,15469.0,46074.8,224.1,0.0,21221.333333333332,18610.0
525,Залесовский муниципальный округ,Залесовский,Алтайский край,муниципальный округ,54.10073083047545,84.69541142744643,3,0,0,0,11281.0,43197.6,229.3,0.0,18319.25,17535.5
527,Змеиногорский муниципальный район,Змеиногорский,Алтайский край,муниципальный район,51.19226503933267,82.312889310771,3,1,0,0,15905.0,73635.2,213.9,0.584407419050613,23738.583333333332,20743.583333333332
528,Калманский муниципальный район,Калманский,Алтайский край,муниципальный район,53.00317626631107,83.44774439048103,3,0,0,0,11641.0,53572.0,226.2,0.0,19049.833333333332,16904.0
529,Каменский муниципальный район,Каменский,Алтайский край,муниципальный район,53.68048501033351,81.31108056369482,3,1,0,2,39949.0,46107.0,229.8,0.7943127487546622,23830.666666666668,20561.666666666668
530,Ключевский муниципальный район,Ключевский,Алтайский край,муниципальный район,52.274349778640065,79.38097510222899,3,0,0,0,12366.0,41934.2,223.1,0.0,22099.583333333332,19202.833333333332
531,Косихинский муниципальный район,Косихинский,Алтайский край,муниципальный район,53.316360135436824,84.63222159913435,3,0,0,0,13314.0,43084.0,226.9,0.0,19523.583333333332,17119.25
532,Красногорский муниципальный район,Красногорский,Алтайский край,муниципальный район,52.31898785641127,86.28057988018783,3,0,0,0,12685.0,40918.0,214.4,0.0,21243.916666666668,18339.666666666668
533,Краснощёковский муниципальный район,Краснощёковский,Алтайский край,муниципальный район,51.573073289048814,82.95057966265654,3,0,0,0,13623.0,55883.9,214.4,0.0,21173.833333333332,18329.583333333332
534,Крутихинский муниципальный район,Крутихинский,Алтайский край,муниципальный район,54.03134875550578,80.94223785910164,3,0,0,0,7856.0,40265.3,231.9,0.0,20064.5,18348.333333333332
535,Кулундинский муниципальный район,Кулундинский,Алтайский край,муниципальный район,52.5871006320399,79.07303124258333,3,2,0,5,20371.0,53891.7,225.3,0.0,24697.416666666668,21477.5
536,Курьинский муниципальный район,Курьинский,Алтайский край,муниципальный район,51.492323602429266,82.36903453590094,3,0,0,0,8051.0,48314.4,215.6,0.0,21070.25,18678.75
